Month,Channel,First Source / Medium,First Campaign,Last Source / Medium,Last Campaign,# of visits,Full path (Source / Medium),Full path (Campaign),Conversions
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,6,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > accounts.google.com / referral,3
2016/07,Direct,(direct) / (none),(direct) / (none),login.microsoftonline.com / referral,login.microsoftonline.com / referral,5,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > login.microsoftonline.com / referral,3
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,4,(direct) / (none) > google / organic > (direct) / (none) > accounts.google.com / referral,(direct) / (none) > google / organic > (direct) / (none) > accounts.google.com / referral,3
2016/07,Direct,(direct) / (none),(direct) / (none),accounts.google.com / referral,accounts.google.com / referral,4,(direct) / (none) > accounts.google.com / referral > accounts.google.com / referral > accounts.google.com / referral,(direct) / (none) > accounts.google.com / referral > accounts.google.com / referral > accounts.google.com / referral,3
2016/07,Integrations,zapier.com / referral,zapier.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,zapier.com / referral > accounts.google.com / referral,zapier.com / referral > accounts.google.com / referral,3
2016/07,Organic,bing / organic,bing / organic,accounts.google.com / referral,accounts.google.com / referral,2,bing / organic > accounts.google.com / referral,bing / organic > accounts.google.com / referral,3
2016/07,Organic,yahoo / organic,yahoo / organic,yahoo / organic,yahoo / organic,1,yahoo / organic,yahoo / organic,3
2016/07,Organic,yahoo / organic,yahoo / organic,accounts.google.com / referral,accounts.google.com / referral,2,yahoo / organic > accounts.google.com / referral,yahoo / organic > accounts.google.com / referral,3
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,4,google / organic > accounts.google.com / referral > google / organic > accounts.google.com / referral,google / organic > accounts.google.com / referral > google / organic > accounts.google.com / referral,3
2016/07,Organic,google / organic,google / organic,accounts.google.com / referral,accounts.google.com / referral,3,google / organic > Other Campaigns / Reseller Partners > accounts.google.com / referral,google / organic > Reseller Partners > accounts.google.com / referral,3
2016/07,Partnerships,Other Campaigns / Reseller Partners,Reseller Partners,(direct) / (none),(direct) / (none),2,Other Campaigns / Reseller Partners > (direct) / (none),Reseller Partners > (direct) / (none),3
2016/07,Partnerships,Other Campaigns / Reseller Partners,Reseller Partners,accounts.google.com / referral,accounts.google.com / referral,3,Other Campaigns / Reseller Partners > (direct) / (none) > accounts.google.com / referral,Reseller Partners > (direct) / (none) > accounts.google.com / referral,3
2016/07,Referral,hongkiat.com / referral,hongkiat.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,hongkiat.com / referral > accounts.google.com / referral,hongkiat.com / referral > accounts.google.com / referral,3
2016/07,Referral,themuse.com / referral,themuse.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,themuse.com / referral > accounts.google.com / referral,themuse.com / referral > accounts.google.com / referral,3
2016/07,?,login.microsoftonline.com / referral,login.microsoftonline.com / referral,login.microsoftonline.com / referral,login.microsoftonline.com / referral,1,login.microsoftonline.com / referral,login.microsoftonline.com / referral,2
2016/07,Advertising,bing / cpc,Contactually | WP - Brand,bing / cpc,Contactually | WP - Brand,1,bing / cpc,Contactually | WP - Brand,2
2016/07,Advertising,bing / cpc,**2016-04 / Competitor / SugarCRM / US,bing / cpc,**2016-04 / Competitor / SugarCRM / US,1,bing / cpc,**2016-04 / Competitor / SugarCRM / US,2
2016/07,Advertising,bing / cpc,2016-01 / Cheap CRM / 1,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,2016-01 / Cheap CRM / 1 > accounts.google.com / referral,2
2016/07,Advertising,bing / cpc,2016-01 / Real Estate CRM / 1,accounts.google.com / referral,accounts.google.com / referral,2,bing / cpc > accounts.google.com / referral,2016-01 / Real Estate CRM / 1 > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Streak / US,google / cpc,**2016-04 / Competitor / Streak / US,1,google / cpc,**2016-04 / Competitor / Streak / US,2
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Sidekick / US,google / cpc,**2016-04 / Competitor / Sidekick / US,1,google / cpc,**2016-04 / Competitor / Sidekick / US,2
2016/07,Advertising,google / cpc,Contactually | WP - Brand,account.live.com / referral,account.live.com / referral,2,google / cpc > account.live.com / referral,Contactually | WP - Brand > account.live.com / referral,2
2016/07,Advertising,google / cpc,**2016-04 / Competitor / MailTrack / US,google / cpc,**2016-04 / Competitor / MailTrack / US,2,google / cpc > google / cpc,**2016-04 / Competitor / MailTrack / US > **2016-04 / Competitor / MailTrack / US,2
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Hubspot / US,accounts.google.com / referral,accounts.google.com / referral,3,google / cpc > google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Hubspot / US > **2016-04 / Competitor / Hubspot / US > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,4,google / cpc > (direct) / (none) > myhub / (not set) > accounts.google.com / referral,Contactually | WP - Brand > (direct) / (none) > CTA-40533 > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,Contactually | WP - Brand,login.microsoftonline.com / referral,login.microsoftonline.com / referral,3,google / cpc > (direct) / (none) > login.microsoftonline.com / referral,Contactually | WP - Brand > (direct) / (none) > login.microsoftonline.com / referral,2
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,4,google / cpc > google / organic > (direct) / (none) > accounts.google.com / referral,Contactually | WP - Brand > google / organic > (direct) / (none) > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Boomerang / US,login.microsoftonline.com / referral,login.microsoftonline.com / referral,2,google / cpc > login.microsoftonline.com / referral,**2016-04 / Competitor / Boomerang / US > login.microsoftonline.com / referral,2
2016/07,Advertising,google / cpc,2016-03 / CRM Contact / 2,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-03 / CRM Contact / 2 > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,2016-03 / Best CRM / 2,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-03 / Best CRM / 2 > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,2016-01 / Real Estate CRM / 1,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-01 / Real Estate CRM / 1 > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,2016-07 / Competitor / Wise Agent / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,2016-07 / Competitor / Wise Agent / US > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,**2016-04 / Competitor / Salesforce / US,accounts.google.com / referral,accounts.google.com / referral,2,google / cpc > accounts.google.com / referral,**2016-04 / Competitor / Salesforce / US > accounts.google.com / referral,2
2016/07,Advertising,google / cpc,Contactually | WP - Brand,accounts.google.com / referral,accounts.google.com / referral,4,google / cpc > accounts.google.com / referral > google / cpc > accounts.google.com / referral,Contactually | WP - Brand > accounts.google.com / referral > Contactually | WP - Brand > accounts.google.com / referral,2
2016/07,Advertising,facebook-ads / cpm,re_ma_coldwellbanker,facebook-ads / cpm,re_ma_coldwellbanker,1,facebook-ads / cpm,re_ma_coldwellbanker,2
2016/07,Advertising,facebook-ads / cpm,fb-2015-07-mixed-clicks,accounts.google.com / referral,accounts.google.com / referral,3,facebook-ads / cpm > facebook-ads / cpm > accounts.google.com / referral,fb-2015-07-mixed-clicks > fb-2015-07-mixed-clicks > accounts.google.com / referral,2
2016/07,Advertising,facebook-ads / cpm,fb-2015-07-mixed-clicks,(direct) / (none),(direct) / (none),3,facebook-ads / cpm > accounts.google.com / referral > (direct) / (none),fb-2015-07-mixed-clicks > accounts.google.com / referral > (direct) / (none),2
2016/07,App Store,chrome.google.com / referral,chrome.google.com / referral,accounts.google.com / referral,accounts.google.com / referral,2,chrome.google.com / referral > accounts.google.com / referral,chrome.google.com / referral > accounts.google.com / referral,2
